periodo,per acertos,per total,moves,n acertos,n erros,open,close,high,low,fitnesst,wint,param0,param1,param2,param3
204,100.0,0.004208485333475418,1,1,0,12268.838162998292,12320.471388466054,12320.471388466054,12268.838162998292,2.766614420062696,72.41379310344827,21,37,5,4
206,100.0,0.004108882876741167,1,1,0,12320.471388466054,12371.094762387502,12371.094762387502,12320.471388466054,2.7151515151515153,83.33333333333334,13,44,5,4
207,100.0,0.003874690202810062,1,1,0,12371.094762387502,12419.02892206136,12419.02892206136,12371.094762387502,2.7039184952978057,68.96551724137932,14,30,10,4
208,50.0,-0.00386684557302297,2,1,1,12419.02892206136,12371.006455052842,12468.109488496877,12371.006455052842,3.0626262626262624,69.44444444444444,10,21,6,4
209,33.33333333333333,-0.011761032355511885,3,1,2,12371.006455052842,12225.51064786472,12371.006455052842,12176.940142034236,2.6294612794612795,70.37037037037037,20,35,5,4
210,50.0,-0.007379582012378072,4,2,2,12225.51064786472,12135.2914893956,12225.51064786472,12039.96776419375,3.0626262626262624,69.44444444444444,20,13,6,4
211,50.0,-0.0034793830500185604,2,1,1,12135.2914893956,12093.068161880363,12135.2914893956,12043.415856537675,3.0626262626262624,69.44444444444444,17,16,6,4
212,100.0,0.012276362337152437,3,3,0,12093.068161880363,12241.527048403488,12241.527048403488,12093.068161880363,2.7727272727272725,70.0,22,20,9,4
213,100.0,0.004085982676052647,1,1,0,12241.527048403488,12291.545715851695,12291.545715851695,12241.527048403488,2.6294612794612795,70.37037037037037,19,35,5,4
214,100.0,0.00849981995464608,2,2,0,12291.545715851695,12396.021641400735,12396.021641400735,12291.545715851695,2.631818181818182,76.0,35,19,5,4
215,33.33333333333333,-0.010938514241584273,3,1,2,12396.021641400735,12260.427582137287,12396.021641400735,12207.165219612967,2.7039184952978057,68.96551724137932,22,20,12,4
216,100.0,0.0042083980970332,1,1,0,12260.427582137287,12312.024342242767,12312.024342242767,12260.427582137287,2.9967532467532467,68.57142857142857,7,18,5,5
217,100.0,0.024610729648213467,6,6,0,12312.024342242767,12615.032244751927,12615.032244751927,12312.024342242767,3.4396694214876034,68.18181818181817,11,10,5,5
218,100.0,0.016917381286393553,4,4,0,12615.032244751927,12828.445555176544,12828.445555176544,12615.032244751927,3.65,68.75,11,10,5,5
219,100.0,0.008174171094823364,2,2,0,12828.445555176544,12933.307464025183,12933.307464025183,12828.445555176544,3.945791245791246,68.51851851851852,13,7,5,5
221,100.0,0.008031263886923759,2,2,0,12933.307464025183,13037.17826919949,13037.17826919949,12933.307464025183,4.242424242424242,68.33333333333333,6,14,5,5
222,75.0,0.004858130787407997,4,3,1,13037.17826919949,13100.514586330015,13146.28377654861,13037.17826919949,4.598303934871099,68.65671641791045,5,12,6,5
223,66.66666666666666,0.0005067634476859541,3,2,1,13100.514586330015,13107.153448268244,13155.114119246096,13054.650630754595,3.0626262626262624,69.44444444444444,15,22,8,4
224,80.0,0.008888407806302108,5,4,1,13107.153448268244,13223.65517329623,13223.65517329623,13005.516472406298,4.390981240981241,68.25396825396825,13,7,5,4
225,25.0,-0.0180912053909038,4,1,3,13223.65517329623,12984.423311537641,13223.65517329623,12930.904863975104,4.6884716732542815,68.11594202898551,5,12,7,5
