periodo,per acertos,per total,moves,n acertos,n erros,open,close,high,low,fitnesst,wint,param0,param1,param2,param3
217,100.0,0.024610729648697406,6,6,0,12742.487936926434,13056.089862593919,13056.089862593919,12742.487936926434,3.4396694214876034,68.18181818181817,10,11,5,5
218,100.0,0.016917381286393633,4,4,0,13056.089862593919,13276.964712908839,13276.964712908839,13056.089862593919,3.65,68.75,11,10,5,5
219,100.0,0.008174171094823433,2,2,0,13276.964712908839,13385.492894092089,13385.492894092089,13276.964712908839,3.945791245791246,68.51851851851852,7,13,5,5
221,100.0,0.008031263886923833,2,2,0,13385.492894092089,13492.995319781086,13492.995319781086,13385.492894092089,4.242424242424242,68.33333333333333,6,14,5,5
222,75.0,0.004858129857561777,4,3,1,13492.995319781086,13558.546043212056,13605.915455452423,13492.995319781086,4.598303934871099,68.65671641791045,5,12,6,5
223,100.0,0.012476962811920386,3,3,0,13558.546043212056,13727.715517976923,13727.715517976923,13558.546043212056,3.0626262626262624,69.44444444444444,23,22,6,4
224,80.0,0.008888422295520696,5,4,1,13727.715517976923,13849.733250653475,13849.733250653475,13621.266509330822,4.390981240981241,68.25396825396825,13,7,5,4
225,25.0,-0.018091205378061068,4,1,3,13849.733250653475,13599.174881984542,13849.733250653475,13543.122586825468,4.6884716732542815,68.11594202898551,5,12,7,5
227,75.0,0.004426752788831734,4,3,1,13599.174881984542,13659.375067319177,13765.268470647008,13599.174881984542,4.625440976933515,70.1492537313433,7,13,5,5
228,33.33333333333333,-0.01138963805834854,3,1,2,13659.375067319177,13503.799729199181,13659.375067319177,13503.799729199181,4.598303934871099,68.65671641791045,7,13,5,5
229,100.0,0.012375933217108104,3,3,0,13503.799729199181,13670.921852824953,13670.921852824953,13503.799729199181,4.539669421487604,68.18181818181817,11,9,5,5
230,75.0,0.004736549670120297,4,3,1,13670.921852824953,13735.674853217191,13783.818552204293,13670.921852824953,4.391281669150521,73.77049180327869,13,7,5,5
231,100.0,0.004016451898829293,1,1,0,13735.674853217191,13790.843530563097,13790.843530563097,13735.674853217191,4.247962382445142,74.13793103448276,13,7,5,5
276,100.0,0.003653845947609177,1,1,0,13790.843530563097,13841.233148311358,13841.233148311358,13790.843530563097,1.6487012987012988,71.42857142857143,5,5,5,4
280,50.0,-0.004344323978326253,2,1,1,13841.233148311358,13781.102347255544,13891.47810490795,13781.102347255544,2.0486013986013987,76.92307692307693,8,6,5,5
281,50.0,-0.004172118459396816,2,1,1,13781.102347255544,13723.605955761723,13781.102347255544,13672.011092562077,2.0486013986013987,76.92307692307693,6,8,5,5
282,100.0,0.0039049072472779845,1,1,0,13723.605955761723,13777.195364117164,13777.195364117164,13723.605955761723,2.037603305785124,81.81818181818183,8,5,9,5
283,0.0,-0.007993500379586231,1,0,1,13777.195364117164,13667.06734774446,13777.195364117164,13667.06734774446,1.8151515151515154,83.33333333333334,16,15,16,5
284,100.0,0.007362859697497675,2,2,0,13667.06734774446,13767.696047102154,13767.696047102154,13667.06734774446,1.9084415584415584,85.71428571428571,17,5,6,4
292,100.0,0.003573001643561228,1,1,0,13767.696047102154,13816.888047706501,13816.888047706501,13767.696047102154,1.8151515151515154,83.33333333333334,18,24,8,2
294,100.0,0.003797385931773223,1,1,0,13816.888047706501,13869.356103999748,13869.356103999748,13816.888047706501,1.9909090909090907,87.5,5,30,22,1
295,100.0,0.006574382500904161,2,2,0,13869.356103999748,13960.538556068692,13960.538556068692,13869.356103999748,1.9087412587412587,69.23076923076923,5,24,22,2
296,100.0,0.006574721544047493,2,2,0,13960.538556068692,14052.325209679782,14052.325209679782,13960.538556068692,1.9909090909090907,87.5,25,17,9,2
297,100.0,0.006830786200431803,2,2,0,14052.325209679782,14148.313638806043,14148.313638806043,14052.325209679782,1.9084415584415584,85.71428571428571,23,26,5,3
300,100.0,0.004264985158339,1,1,0,14148.313638806043,14208.655986491076,14208.655986491076,14148.313638806043,2.066161616161616,88.88888888888889,25,24,7,3
301,100.0,0.003742976403686447,1,1,0,14208.655986491076,14261.83865057661,14261.83865057661,14208.655986491076,2.066161616161616,88.88888888888889,24,25,7,3
302,100.0,0.003503636815375101,1,1,0,14261.83865057661,14311.80695352771,14311.80695352771,14261.83865057661,2.037603305785124,81.81818181818183,24,25,5,5
304,100.0,0.003040469757215649,1,1,0,14311.80695352771,14355.32156974102,14355.32156974102,14311.80695352771,2.1151515151515152,83.33333333333334,5,25,55,2
305,50.0,-0.005391765623176121,2,1,1,14355.32156974102,14277.921040391651,14355.32156974102,14234.47262526276,2.1334224598930485,70.58823529411765,12,8,56,2
306,100.0,0.003440807123574373,1,1,0,14277.921040391651,14327.048612817263,14327.048612817263,14277.921040391651,2.2131313131313126,72.22222222222221,8,12,49,2
