periodo,per acertos,per total,moves,n acertos,n erros,open,close,high,low,fitnesst,wint,param0,param1,param2
201,60.0,-0.0038602547417709624,5,3,2,12737.10513517407,12687.936664679579,12787.482394755214,12637.837937368146,3.418498942917547,69.76744186046511,26,5,3
203,83.33333333333334,0.011104260369994654,6,5,1,12687.936664679579,12828.826816962182,12830.699638699434,12687.936664679579,3.208741258741259,69.23076923076923,26,5,4
204,100.0,0.004208485333475438,1,1,0,12828.826816962182,12882.816746467064,12882.816746467064,12828.826816962182,3.2916851441241683,68.29268292682927,26,5,4
205,50.0,-0.003600857416204919,2,1,1,12882.816746467064,12836.42756024394,12882.816746467064,12784.606194534566,3.2727272727272725,70.0,26,5,4
206,66.66666666666666,0.0006465418106329625,3,2,1,12836.42756024394,12844.726847360798,12844.726847360798,12736.72311388916,3.208741258741259,69.23076923076923,26,5,4
207,100.0,0.0037980723658387456,1,1,0,12844.726847360798,12893.512049446506,12893.512049446506,12844.726847360798,3.113131313131313,72.22222222222221,25,8,4
208,50.0,-0.003729393710945205,2,1,1,12893.512049446506,12845.427066697304,12944.46779475489,12845.427066697304,3.2553613053613057,71.7948717948718,25,5,4
209,50.0,-0.003719546503331858,2,1,1,12845.427066697304,12797.647903367566,12895.973719362464,12797.647903367566,3.2727272727272725,70.0,25,5,4
210,100.0,0.011963409007140057,3,3,0,12797.647903367566,12950.75139956492,12950.75139956492,12797.647903367566,3.355411255411256,69.04761904761905,23,6,4
211,50.0,-0.0035320251659537814,2,1,1,12950.75139956492,12905.009019703646,12950.75139956492,12852.279022943767,3.355411255411256,69.04761904761905,23,6,4
212,100.0,0.01243693045588765,3,3,0,12905.009019703646,13065.507719414303,13065.507719414303,12905.009019703646,3.2553613053613057,71.7948717948718,24,6,4
213,33.33333333333333,-0.011218422359511423,3,1,2,13065.507719414303,12918.933335476457,13065.507719414303,12918.933335476457,3.5025252525252526,68.88888888888889,23,6,4
214,33.33333333333333,-0.010967704470531293,3,1,2,12918.933335476457,12777.242292578456,12918.933335476457,12724.492248727414,3.48099173553719,70.45454545454545,23,6,4
215,60.0,-0.0027379729309022355,5,3,2,12777.242292578456,12742.258549049797,12836.201861224832,12729.156800158915,3.5879110251450674,68.08510638297872,11,7,5
216,50.0,-0.006467491232357667,4,2,2,12742.258549049797,12659.848103603383,12754.63446510313,12648.490755397203,3.5879110251450674,68.08510638297872,11,15,5
217,83.33333333333334,0.012694591811731016,6,5,1,12659.848103603383,12820.559707677145,12863.079283258936,12659.848103603383,3.945791245791246,68.51851851851852,11,7,5
218,50.0,-0.006580047653488961,4,2,2,12820.559707677145,12736.199813856229,12872.603897252551,12736.199813856229,4.09401913875598,68.42105263157895,11,8,5
219,100.0,0.008241256775388353,2,2,0,12736.199813856229,12841.162106864871,12841.162106864871,12736.199813856229,4.242424242424242,68.33333333333333,11,8,5
220,60.0,-0.003293706420934914,5,3,2,12841.162106864871,12798.867088781224,12896.080807855886,12742.596556001954,4.153918495297805,68.96551724137932,11,17,5
221,66.66666666666666,0.00034146807651211055,3,2,1,12798.867088781224,12803.237493307564,12901.997630822889,12798.867088781224,4.65668449197861,69.11764705882352,11,50,4
222,60.0,-0.002648764451224515,5,3,2,12803.237493307564,12769.324732974706,12908.764424350446,12769.324732974706,4.837373737373737,68.05555555555556,10,27,4
